Time,Mean measurement error,Mean measurement and model error,Mean estimated distance u-s1,Distance u-s1,All u_x,All u_y,All u_z,All u_hat_x,All u_hat_y,All u_hat_z
0,731.0568260294274,731.0568260294274,1390.7374190289197,1704.1971714637903,5399040.927538692,2953020.6126700644,-3097648.661245136,5399178.663153157,2953104.752034222,-3097324.0255397833
1,742.4840087693918,742.4840087693918,1395.7607275949783,1704.3428028118597,5402525.60661077,2953663.368556051,-3090920.426392017,5402664.353033357,2953748.4235251956,-3090595.0001436956
2,723.2064063808423,723.2064063808423,1406.8883984821907,1704.4887194726045,5406003.560261331,2954302.498305403,-3084188.684131707,5406135.443295246,2954383.6486907126,-3083875.990491721
3,731.1449536222992,731.1449536222992,1396.8119501832937,1704.6349271205902,5409474.924495701,2954938.0270256926,-3077453.172033456,5409612.92503747,2955023.0279152263,-3077125.88571739
4,713.1436643046364,713.1436643046364,1397.494114376323,1704.7814234554576,5412939.695000923,2955569.953897425,-3070713.8982821302,5413073.190212073,2955652.311355068,-3070396.884499133
5,723.806857938547,723.806857938547,1398.223855598944,1704.9282100895518,5416397.867470901,2956198.2781053022,-3063970.871069553,5416532.498213546,2956281.891134261,-3063648.701526194
6,718.2220437881757,718.2220437881757,1397.6673799763296,1705.0752847560461,5419849.437608437,2956822.998838586,-3057224.098590591,5419981.677755531,2956905.5948177977,-3056906.8466908373
7,709.9979326007883,709.9979326007883,1413.5948793811451,1705.2226474547128,5423294.401123768,2957444.1152908322,-3050473.58904596,5423421.044629896,2957522.6187986243,-3050168.745878006
8,698.9968940558581,698.9968940558581,1418.0277951673372,1705.370302422028,5426732.891938928,2958061.6514320774,-3043719.0788197964,5426857.00813537,2958139.312677496,-3043419.7002646364
9,700.4656557130454,700.4656557130454,1418.5142512982552,1705.518238225539,5430164.6291069705,2958675.556775525,-3036961.119614247,5430287.043139777,2958752.3421059228,-3036663.2157211723
10,709.6355299373723,709.6355299373723,1382.5255926999548,1705.666458706872,5433589.74683216,2959285.855445098,-3030199.4479725123,5433728.107991588,2959372.372899449,-3029864.1450238116
11,685.3294390680763,685.3294390680763,1398.0884540341158,1705.8149646526974,5437008.240856189,2959892.546651847,-3023434.0721154627,5437136.754920401,2959973.1090235165,-3023120.635030842
12,703.7745050403612,703.7745050403612,1413.6454623209506,1705.9637537802614,5440420.106930149,2960495.629611467,-3016665.0002659713,5440543.801041902,2960573.801444817,-3016361.3002945767
13,679.4932233739099,679.4932233739099,1407.2823289026778,1706.1128276700078,5443825.340811932,2961095.1035438413,-3009892.2406540695,5443948.056681306,2961172.9653047146,-3009590.8739728425
14,688.2557564460296,688.2557564460296,1414.2946129988243,1706.2621816949163,5447223.938268495,2961690.967673438,-3003115.8015124244,5447345.039826414,2961767.883766933,-3002817.7893037554
15,659.3174669923532,659.3174669923532,1426.6853914489748,1706.411825155444,5450616.031409974,2962283.2449846566,-2996335.4182201033,5450729.07049733,2962355.3040163317,-2996055.0661860323
16,675.6018454214584,675.6018454214584,1403.8610579177657,1706.5617426365877,5454001.34307955,2962871.8870540387,-2989551.6445928803,5454123.729588286,2962950.2784480066,-2989247.4645288433
17,684.3000688593005,684.3000688593005,1405.341240998894,1706.71194110838,5457380.005670501,2963456.917020044,-2982764.216167144,5457505.188550162,2963536.6550039663,-2982452.904730771
18,673.5390507664958,673.5390507664958,1415.261579468999,1706.8624182494948,5460752.014982285,2964038.334124823,-2975973.1411936944,5460871.595346639,2964114.8396038665,-2975674.2229265305
19,665.8917826290552,665.8917826290552,1425.6865824725046,1707.0131756225403,5464117.366820648,2964616.1376146334,-2969178.4279315327,5464232.049685286,2964689.820083151,-2968891.234209148
20,660.4274376683073,660.4274376683073,1412.1324112155999,1707.1642094392087,5467476.057000943,2965190.326740405,-2962380.0846412,5467594.884873806,2965267.052039554,-2962080.963420563
21,646.0701265925893,646.0701265925893,1415.5662391172784,1707.3155204233467,5470828.081345746,2965760.900757338,-2955578.119589619,5470943.416294985,2965835.494209214,-2955287.9137427416
22,650.279672068518,650.279672068518,1416.5362260170918,1707.4671082464092,5474173.435685669,2966327.858925039,-2948772.5410483954,5474288.459052198,2966402.529743883,-2948480.80604484
23,656.3243729005054,656.3243729005054,1422.8107497988303,1707.618978394644,5477512.250051444,2966891.2230998944,-2941963.083264944,5477626.1915664235,2966965.2252081293,-2941674.9688428883
24,656.277405877758,656.277405877758,1423.254130701335,1707.7711167986954,5480844.251637537,2967450.9472201513,-2935150.302432178,5480955.739081031,2967523.6442831173,-2934864.621662892
25,642.1737248118201,642.1737248118201,1425.9839501375525,1707.9235293587642,5484169.570759774,2968007.0532966037,-2928333.9329509633,5484279.366550787,2968078.8860841556,-2928053.0200951183
26,624.3945612631445,624.3945612631445,1433.3701451624918,1708.0762153177798,5487488.20328059,2968559.540606434,-2921513.983112485,5487593.50689043,2968628.4469541954,-2921243.202264189
27,640.2266981582374,640.2266981582374,1418.9406371735458,1708.229173888874,5490800.145071888,2969108.408431475,-2914690.461209688,5490913.033878397,2969182.2282098434,-2914399.4108405286
28,627.4058478652827,627.4058478652827,1411.4180824383634,1708.3824039323438,5494105.392012632,2969653.656057805,-2907863.3755422514,5494217.097527489,2969727.0327546946,-2907572.4842005344
29,636.7696667716766,636.7696667716766,1423.640362695795,1708.5359054749426,5497403.939990406,2970195.2827760037,-2901032.73441339,5497513.915093243,2970267.983576989,-2900746.879728289
30,617.0184695986649,617.0184695986649,1430.6576681724043,1708.6896840691038,5500695.917207522,2970733.3094538883,-2894198.271098228,5500799.536521825,2970801.933604175,-2893929.258309098
31,623.4749238432039,623.4749238432039,1431.2831620255288,1708.843725086924,5503981.0546838,2971267.6920993766,-2887360.5438339096,5504085.813750948,2971337.2698188554,-2887086.5047837547
32,614.8422823405042,614.8422823405042,1423.368629278954,1708.9980356728556,5507259.480907709,2971798.451734878,-2880519.286046919,5507366.623371152,2971869.559272964,-2880239.237605317
33,625.760832174463,625.760832174463,1435.118739388828,1709.1526138855936,5510531.191799495,2972325.5876686973,-2873674.5060583246,5510636.209925151,2972395.447649671,-2873397.825033201
34,623.4117736417232,623.4117736417232,1437.930484520555,1709.3074597226537,5513796.183286669,2972849.0992134255,-2866826.21219552,5513898.146269265,2972917.427184918,-2866557.9813702116
35,619.1328296683844,619.1328296683844,1425.5449722534324,1709.4625712555935,5517054.451305735,2973368.9856862165,-2859974.4127886584,5517160.219762013,2973439.709632506,-2859695.2928950656
36,618.4619953931195,618.4619953931195,1429.6102523160841,1709.6179492328183,5520305.991800676,2973885.246408549,-2853119.1161737936,5520410.313181246,2973955.6694130376,-2852842.346473581
37,606.1075034777243,606.1075034777243,1433.7656081671043,1709.7735917469877,5523550.800724611,2974397.880706485,-2846260.33068941,5523653.713298171,2974467.263643004,-2845987.170320344
38,606.4591468808983,606.4591468808983,1435.594551788433,1709.9295044350392,5526789.004180541,2974906.9083164097,-2839397.7885192707,5526889.936545037,2974975.1682488224,-2839127.7686654082
39,603.5817947283987,603.5817947283987,1435.3036249555216,1710.085674813688,5530020.337580076,2975412.287614998,-2832532.050196338,5530121.15720028,2975480.6225220873,-2832262.099076489
40,601.3876950192398,601.3876950192398,1451.4871704586812,1710.2421066206816,5533244.927314605,2975914.0384935983,-2825662.8480511187,5533339.131272434,2975978.512777701,-2825409.1925977916
41,600.3159780413224,600.3159780413224,1440.7671083743483,1710.3988017482789,5536462.769368595,2976412.1602957966,-2818790.190442798,5536560.13764043,2976478.6246536537,-2818525.5047794157
42,592.9329919454117,592.9329919454117,1437.281805263252,1710.5557567203582,5539673.859736159,2976906.652369843,-2811914.0857318533,5539771.360795662,2976973.541389034,-2811648.6486586323
43,592.4642730044694,592.4642730044694,1452.1743079019268,1710.7129726910925,5542878.194417946,2977397.514068167,-2805034.542286752,5542971.180352358,2977461.37382234,-2804780.5151390745
44,595.0901444980599,595.0901444980599,1447.056452013364,1710.8704473382716,5546075.769424438,2977884.7447478864,-2798151.5684768455,5546170.369346017,2977950.081171138,-2797890.8734555594
45,583.0469127911659,583.0469127911659,1445.2742139925037,1711.028187893296,5549266.709013491,2978368.363154042,-2791264.895548157,5549361.627655516,2978433.97045435,-2791004.3403188908
